ir,red
115591,100505
115663,100531
115784,100589
115819,100625
115881,100627
115849,100606
115893,100654
115979,100707
116036,100685
116031,100680
116075,100696
116071,100700
116170,100742
116206,100764
116213,100740
116213,100752
116301,100785
116346,100838
116429,100850
116451,100855
116491,100848
116591,100890
116720,100963
116766,100973
116778,101023
116792,100988
116912,101028
116977,101075
117016,101059
117033,101079
116985,101070
117052,101084
117106,101099
117103,101138
117094,101081
117036,101066
117046,101055
117099,101107
117054,101089
117051,101071
116993,101036
117038,101079
117031,101120
117044,101067
117017,101084
116946,101041
117008,101078
117007,101106
116970,101075
116983,101060
116969,101017
116990,101038
117033,101049
117064,101059
117033,101064
117022,101066
117095,101119
117132,101141
117163,101127
117140,101109
117109,101086
117252,101170
117285,101218
117303,101196
117315,101181
117313,101180
117387,101240
117442,101264
117493,101265
117458,101260
117480,101231
117614,101294
117637,101308
117636,101298
117682,101338
117711,101331
117786,101379
117834,101418
117804,101418
117833,101384
117881,101382
117948,101443
117991,101467
118050,101498
118061,101478
118040,101457
118148,101523
118168,101527
118228,101557
118221,101551
118243,101518
118287,101597
118349,101657
118380,101628
118360,101610
118410,101560
118460,101625
118500,101708
118497,101656
118503,101661
118461,101630
118526,101699
118543,101709
118570,101681
118544,101690
118566,101672
118632,101740
118645,101754
118672,101750
118669,101721
118657,101715
118714,101750
118752,101780
118758,101756
118725,101751
118712,101733
118782,101777
118781,101789
118809,101793
118749,101759
118776,101768
118839,101829
118859,101852
118872,101837
118860,101769
118805,101798
118882,101832
118907,101854
118925,101815
118889,101798
118893,101816
118957,101855
118943,101868
118981,101829
118935,101805
118989,101824
119021,101882
119067,101881
119071,101911
119071,101858
119050,101863
119131,101913
119148,101941
119179,101969
119131,101924
119186,101935
119234,101973
119259,102018
119242,101986
119238,101965
119252,101970
119341,102003
119364,102017
119343,102022
119346,101982
119356,102014
119463,102066
119489,102107
119472,102075
119432,102024
119454,102041
119502,102067
119513,102092
119490,102063
119373,101995
119303,101981
119188,101964
118954,101832
118635,101715
118276,101506
117916,101393
117637,101278
117256,101130
116890,100980
116568,100832
116332,100772
116143,100713
115936,100640
115759,100604
115578,100479
115450,100425
115418,100441
115326,100390
115266,100373
115195,100311
115143,100309
115161,100330
115147,100338
