ir,red
108232,97399
108141,97393
107994,97292
107955,97233
107983,97365
108022,97308
107900,97270
107783,97178
107790,97212
107893,97291
107821,97240
107845,97259
107702,97192
107757,97190
107879,97270
107862,97292
107846,97249
107769,97165
107795,97233
107867,97244
107868,97320
107880,97255
107771,97208
107810,97235
107963,97316
107912,97296
107945,97293
107862,97238
107945,97293
107996,97349
108028,97355
107995,97304
107967,97266
108075,97351
108152,97382
108207,97465
108185,97402
108149,97403
108227,97443
108393,97534
108404,97546
108377,97504
108311,97459
108402,97524
108508,97552
108512,97582
108499,97496
108389,97513
108509,97511
108515,97614
108515,97546
108530,97534
108421,97474
108525,97577
108548,97562
108545,97606
108494,97548
108440,97456
108510,97513
108597,97650
108526,97549
108505,97596
108382,97465
108530,97534
108604,97647
108527,97581
108522,97536
108438,97459
108568,97575
108609,97647
108595,97632
108573,97561
108506,97537
108633,97566
108684,97669
108626,97644
108681,97605
108564,97594
108747,97633
108726,97698
108792,97653
108810,97686
108730,97571
108818,97744
108947,97736
108881,97724
108910,97701
108842,97648
108973,97810
109001,97809
109073,97785
109004,97791
108960,97752
109086,97835
109146,97856
109187,97887
109153,97823
109103,97823
109230,97891
109337,97934
109290,97907
109311,97952
109221,97839
109347,97959
109420,97991
109474,97973
109409,97960
109400,97895
109474,98054
109554,98102
109513,98032
109537,97991
109448,98009
109668,98083
109639,98108
109703,98138
109629,98113
109585,98021
109771,98147
109810,98151
109791,98168
109782,98094
109746,98124
109915,98155
109993,98256
109927,98218
109907,98194
109920,98129
110027,98244
110105,98282
110136,98275
110058,98242
110041,98228
110208,98281
110259,98368
110190,98343
110245,98297
110128,98289
110320,98389
110369,98406
110300,98391
110251,98348
110227,98284
110321,98416
110354,98382
110277,98365
110118,98287
110036,98192
110027,98268
110013,98206
109802,98138
109691,98041
109488,97966
109448,97983
109392,97927
109222,97802
109027,97757
108897,97647
108828,97687
108802,97610
108636,97587
108534,97466
108336,97435
108412,97491
108290,97458
108245,97347
108160,97311
108029,97254
108079,97326
108031,97333
107959,97276
107886,97194
107831,97220
107861,97263
107938,97295
107872,97216
107796,97185
107727,97190
107889,97270
107837,97275
107818,97235
107752,97124
107773,97198
107871,97286
107842,97235
107853,97263
107754,97189
107743,97224
107912,97260
107939,97302
107848,97292
107846,97217
107865,97283
107979,97339
108007,97344
107993,97315
107946,97302
108011,97291
108129,97469
108198,97432
108139,97442
108105,97375
108225,97450
108317,97467
108387,97543
108383,97501
108277,97430
108327,97465
108489,97618
108461,97539
108452,97563
108385,97473
108455,97573
108592,97582
108552,97587
108447,97530
108412,97465
108473,97541
108525,97625
108524,97536
108525,97513
108376,97487
108439,97494
108498,97555
108524,97537
108419,97532
108321,97452
108467,97504
108557,97565
108458,97555
108489,97551
108417,97486
108445,97510
108565,97616
108523,97521
108513,97535
108479,97490
108511,97577
108597,97617
108614,97578
108636,97580
