ir,red
107900,98052
107923,98045
107942,98060
107985,98097
108033,98075
108042,98107
108070,98131
108157,98157
108147,98172
108194,98143
108211,98192
108210,98190
108235,98192
108234,98189
108262,98186
108285,98194
108285,98205
108288,98200
108303,98212
108291,98199
108311,98202
108290,98207
108302,98170
108315,98209
108311,98201
108277,98191
108284,98200
108276,98180
108273,98186
108263,98166
108253,98199
108212,98195
108262,98198
108264,98183
108243,98179
108244,98189
108258,98189
108240,98183
108250,98168
108251,98183
108269,98193
108282,98191
108270,98202
108290,98194
108280,98208
108294,98191
108330,98213
108340,98214
108336,98236
108398,98254
108387,98215
108427,98226
108436,98253
108448,98253
108468,98259
108479,98274
108486,98312
108530,98313
108530,98305
108574,98300
108603,98327
108620,98335
108627,98335
108672,98354
108676,98358
108722,98371
108734,98380
108736,98390
108752,98378
108786,98394
108819,98392
108811,98411
108851,98419
108897,98454
108897,98460
108928,98471
108936,98433
108955,98487
108984,98484
108992,98489
109036,98514
109035,98492
109058,98508
109089,98471
109077,98539
109115,98534
109126,98551
109171,98560
109175,98565
109188,98572
109212,98553
109206,98562
109242,98596
109263,98602
109309,98601
109304,98614
109316,98631
109338,98596
109354,98640
109378,98643
109429,98636
109428,98659
109440,98666
109461,98663
109492,98704
109512,98703
109522,98712
109557,98709
109565,98694
109590,98709
109600,98741
109621,98723
109637,98745
109675,98768
109678,98777
109710,98772
109701,98761
109724,98785
109727,98788
109730,98790
109707,98791
109691,98763
109630,98735
109587,98734
109495,98678
109414,98650
109295,98621
109215,98564
109084,98545
109029,98456
108885,98431
108803,98367
108671,98316
108562,98297
108459,98242
108377,98200
108236,98148
108157,98107
108039,98086
107978,98021
107865,98003
107810,97979
107728,97940
107667,97912
107579,97903
107531,97895
107516,97849
107457,97846
107416,97803
107385,97837
107362,97822
107348,97800
107348,97783
107340,97822
107343,97807
107344,97810
107362,97803
107382,97814
107371,97834
107409,97834
107396,97848
107401,97843
107399,97851
107430,97853
107431,97874
107467,97883
107455,97885
107504,97900
107512,97909
107539,97919
107538,97929
107604,97951
107606,97937
107610,97918
107649,97921
107692,97960
107708,97982
107761,98029
107791,98028
107839,98042
107858,98074
107890,98103
107943,98079
107981,98099
107986,98137
108015,98123
108048,98157
108080,98127
108078,98169
108101,98141
108097,98166
108115,98164
108118,98159
108092,98156
108107,98161
108120,98162
108117,98149
108107,98158
108094,98158
108087,98133
108105,98176
108089,98158
108113,98163
108065,98147
108102,98139
108067,98138
108060,98134
108079,98124
108088,98151
108063,98144
108071,98147
108066,98157
108052,98160
108084,98193
108087,98130
108100,98157
108110,98157
108096,98168
108105,98166
108141,98208
108153,98198
108148,98201
108158,98190
108217,98198
108236,98185
108250,98218
108234,98248
108275,98223
108283,98242
108323,98271
108338,98269
108341,98289
108370,98329
108406,98321
108426,98338
108418,98293
108482,98308
108498,98336
108497,98360
108535,98357
108564,98379
108573,98384
108618,98380
108600,98398
108651,98414
108682,98416
108695,98433
108707,98451
108704,98427
108759,98455
108810,98460
108812,98478
108830,98495
108851,98457
108870,98505
108869,98491
108902,98502
108912,98508
108925,98527
108944,98557
108971,98535
108986,98545
109009,98553
109005,98555
109030,98554
109042,98563
109065,98569
109101,98595
109102,98600
109121,98591
109169,98588
109155,98624
109141,98622
109182,98642
109213,98619
109229,98628
109231,98644
109259,98660
109273,98678
109288,98671
109323,98676
109312,98692
109354,98668
109354,98677
109387,98704
109427,98718
109419,98714
109425,98722
109449,98729
109475,98731
109464,98754
109530,98757
109507,98763
109527,98756
109522,98775
109523,98739
109509,98762
109466,98752
109393,98682
109351,98663
109267,98649
109210,98611
109093,98561
108973,98540
108901,98494
108775,98433
108677,98377
108530,98346
108412,98288
108288,98239
108184,98204
108059,98128
107948,98109
107818,98029
107740,98008
107632,97959
107533,97940
107434,97898
107360,97885
107288,97852
107248,97820
107206,97799
107157,97802
107116,97804
107056,97754
107051,97765
107008,97773
107023,97757
106974,97771
106997,97761
107010,97765
107029,97777
107014,97767
107022,97801
107045,97768
107052,97813
107079,97793
107113,97808
107112,97824
107136,97825
107158,97852
107159,97851
107195,97856
107209,97856
107235,97879
107225,97908
107240,97896
107320,97908
107330,97931
107345,97926
107395,97942
107410,97967
107445,97990
107458,97986
107538,98000
107565,98034
107636,98043
107650,98067
107676,98050
107717,98103
107720,98083
107782,98106
107788,98145
107807,98125
107801,98132
107824,98143
107854,98153
107804,98118
107860,98146
107829,98137
107864,98134
107877,98150
107816,98122
107849,98153
107840,98139
107810,98142
107832,98123
107808,98141
